,time,open,high,low,close,volume,,,,,,
897,2021-04-28 09:00:00,128.136478119,128.226455282,128.136478119,128.217457565,890,,,,,,
898,2021-04-28 07:30:00,127.803562615,127.803562615,127.803562615,127.803562615,1151,,,,,,
899,2021-04-27 20:00:00,128.01051009,128.01051009,127.983516941,127.983516941,853,,,,,,
900,2021-04-27 19:00:00,128.064496388,128.064496388,128.064496388,128.064496388,752,,,,,,
901,2021-04-27 18:30:00,128.127390425,128.127390425,128.127390425,128.127390425,210,,,,,,
902,2021-04-27 18:00:00,128.028505523,128.028505523,127.992514657,128.019507806,2123,,,,,,
903,2021-04-27 17:30:00,127.776569466,128.037503239,127.731670861,128.037503239,15542,,,,,,
904,2021-04-27 16:30:00,127.776569466,127.803562615,127.776569466,127.803562615,97616,,,,,,
905,2021-04-27 16:00:00,127.722493191,127.893539778,127.650601437,127.776569466,499298,,,,,,
906,2021-04-27 15:30:00,127.704587735,127.884542062,127.605612856,127.713585451,291724,,,,,,
907,2021-04-27 15:00:00,127.893539778,127.965521508,127.66859687,127.705937393,154733,,,,,,
908,2021-04-27 14:30:00,127.785567182,127.911535211,127.722583168,127.875544345,129679,,,,,,
909,2021-04-27 14:00:00,127.875544345,127.902537494,127.731580884,127.781968095,105455,,,,,,
910,2021-04-27 13:30:00,127.821558047,127.965521508,127.767571749,127.884542062,138724,,,,,,
911,2021-04-27 13:00:00,128.091489537,128.091489537,127.695590019,127.803562615,148961,,,,,,
912,2021-04-27 12:30:00,128.028505523,128.1814667,127.947346121,128.073494104,183359,,,,,,
913,2021-04-27 12:00:00,127.614610572,128.068995246,127.587617423,128.019507806,169086,,,,,,
914,2021-04-27 11:30:00,127.749576317,127.929530643,127.416660813,127.605612856,211173,,,,,,
915,2021-04-27 11:00:00,127.884542062,128.001512374,127.578619707,127.749576317,218900,,,,,,
916,2021-04-27 10:30:00,127.659599154,128.271443863,127.623608288,127.884542062,569270,,,,,,
917,2021-04-27 10:00:00,127.488642543,127.749576317,126.642857209,127.673095728,574672,,,,,,
918,2021-04-27 09:30:00,127.443653962,127.66859687,127.299690501,127.66859687,5407,,,,,,
919,2021-04-27 09:00:00,127.587617423,127.587617423,127.344679082,127.452651678,3083,,,,,,
920,2021-04-27 08:30:00,127.362674515,127.362674515,127.362674515,127.362674515,317,,,,,,
921,2021-04-27 08:00:00,127.452651678,127.587617423,127.452651678,127.587617423,582,,,,,,
922,2021-04-27 07:00:00,127.542628841,127.542628841,127.542628841,127.542628841,392,,,,,,
923,2021-04-26 19:30:00,127.389667664,127.389667664,127.389667664,127.389667664,237,,,,,,
924,2021-04-26 18:30:00,127.308688217,127.380669948,127.308688217,127.380669948,790,,,,,,
925,2021-04-26 18:00:00,127.317685933,127.317685933,127.272697352,127.272697352,737,,,,,,
926,2021-04-26 17:30:00,127.263699635,127.380669948,127.263699635,127.380669948,236,,,,,,
927,2021-04-26 17:00:00,127.317685933,127.317685933,127.317685933,127.317685933,550,,,,,,
928,2021-04-26 16:30:00,127.380669948,127.425658529,126.867800117,126.867800117,362680,,,,,,
929,2021-04-26 16:00:00,127.39866538,127.673095728,127.299690501,127.434656246,655366,,,,,,
930,2021-04-26 15:30:00,127.763072891,127.794564898,127.380669948,127.39866538,217790,,,,,,
931,2021-04-26 15:00:00,127.767571749,127.794564898,127.623608288,127.758574033,129436,,,,,,
932,2021-04-26 14:30:00,127.957063655,127.957063655,127.587617423,127.767571749,226935,,,,,,
933,2021-04-26 14:00:00,127.947526076,127.992514657,127.830555764,127.947526076,134887,,,,,,
934,2021-04-26 13:30:00,128.212958707,128.28044158,127.929530643,127.929530643,195170,,,,,,
935,2021-04-26 13:00:00,128.379416459,128.496386771,128.154473551,128.208459849,364087,,,,,,
936,2021-04-26 12:30:00,128.505384488,128.52337992,128.35242331,128.388414175,125062,,,,,,
937,2021-04-26 12:00:00,128.343425594,128.581865076,128.316432445,128.532377637,225462,,,,,,
938,2021-04-26 11:30:00,128.676341098,128.721329679,128.325520138,128.343425594,211489,,,,,,
939,2021-04-26 11:00:00,128.910191745,129.189210928,128.509883346,128.676341098,422253,,,,,,
940,2021-04-26 10:30:00,129.009256602,129.045247467,128.649347949,128.892286289,327324,,,,,,
941,2021-04-26 10:00:00,128.145475835,129.23419951,128.024006665,129.009256602,759371,,,,,,
942,2021-04-26 09:30:00,128.262446147,128.262446147,128.217457565,128.253448431,833,,,,,,
943,2021-04-26 09:00:00,128.307434729,128.307434729,128.118482686,128.127480402,1574,,,,,,
944,2021-04-26 08:30:00,128.585284209,128.585284209,128.309144295,128.397411892,1111,,,,,,
945,2021-04-26 08:00:00,128.190464416,128.190464416,128.190464416,128.190464416,234,,,,,,
946,2021-06-23 20:00:00,131.892349823,131.892349823,131.892349823,131.892349823,344,,,,,,
947,2021-06-23 19:30:00,131.874151499,131.892349823,131.874151499,131.892349823,268,,,,,,
948,2021-06-23 18:30:00,131.664870778,131.92874647,131.664870778,131.92874647,1321,,,,,,
949,2021-06-23 18:00:00,131.683069102,131.683069102,131.582978323,131.582978323,210,,,,,,
950,2021-06-23 17:30:00,131.601176646,131.92874647,131.601176646,131.92874647,523,,,,,,
951,2021-06-23 17:00:00,131.664870778,131.710366587,131.319102631,131.319102631,2892,,,,,,
952,2021-06-23 16:30:00,131.582978323,131.646672455,131.582978323,131.582978323,102327,,,,,,
953,2021-06-23 16:00:00,131.974242279,132.069783477,131.546581675,131.582978323,650348,,,,,,
954,2021-06-23 15:30:00,131.842304433,132.019738087,131.746763234,131.98334144,242325,,,,,,
955,2021-06-23 15:00:00,132.019738087,132.074333058,131.819556528,131.842304433,187539,,,,,,
956,2021-06-23 14:30:00,132.197171742,132.201721323,131.974242279,132.019738087,192959,,,,,,
957,2021-06-23 14:00:00,132.310911264,132.356407073,132.192622161,132.192622161,103009,,,,,,
